Key,English(en),Portuguese (Brazil)(pt-BR),Spanish(es)
Title Text,Souper Hero,Souper Herói ,Souper Héroe
LanguageScene Text,Language,Língua,Idioma
Start Button,Start,Começar,Empezar
Options Button,Options,Opções,Opciones
Controls Button,Controls,Controles ,Controles
Exit Button,Exit,Sair,Salir
Menu Button ,Menu,Menu,Menú
Cook Button ,Cook,Cozinhar,Cocinar
Campfire Warning,"Campfires will be unusable after exiting, so be careful!","Fogueiras serão inusáveis depois de sair, então tenha cuidado! ","Fogatas serán inutilizables después de salir, entonces ten cuidado! "
Ability Ingredient Warning,Soups should include at least 1 Ability Ingredient!,Sopas devem ter pelo menos 1 Ingrediente de Abilidades!,Sopas deben tener al menos 1 ingrediente de habilidad!
Win Screen ,YOU'RE WINNER!!!!,Você Ganhou!!!!,Eres el Ganador!!!!
Restart Button,Restart,Reiniciar,Reiniciar
Game Over,Game Over,Fim do Jogo,Fin del Juego